1:101:T:F:69
1:201:T:F:41
1:201:F:T:23
1:202:T:F:20
1:202:F:T:35
1:301:T:F:47
1:301:F:T:14
1:302:T:F:37
1:302:F:T:20
2:101:T:F:95
2:201:T:F:53
2:201:F:T:38
2:202:T:F:41
2:202:F:T:21
2:301:T:F:53
2:301:F:T:16
2:302:T:F:59
2:302:F:T:19
3:101:T:F:82
3:201:T:F:38
3:201:F:T:31
3:202:T:F:44
3:202:F:T:22
3:301:T:F:63
3:301:F:T:20
3:302:T:F:57
3:302:F:T:17
4:101:T:F:68
4:201:T:F:49
4:201:F:T:32
4:202:T:F:50
4:202:F:T:24
4:301:T:F:62
4:301:F:T:21
4:302:T:F:59
4:302:F:T:24
7:101:T:F:67
7:201:T:F:26
7:201:F:T:26
7:202:T:F:20
7:202:F:T:21
7:301:T:F:41
7:301:F:T:20
7:302:T:F:38
7:302:F:T:29
8:101:T:F:81
8:201:T:F:58
8:201:F:T:23
8:202:T:F:54
8:202:F:T:25
8:301:T:F:62
8:301:F:T:19
8:302:T:F:42
8:302:F:T:22
9:101:T:F:57
9:201:T:F:45
9:201:F:T:39
9:202:T:F:30
9:202:F:T:20
9:301:T:F:67
9:301:F:T:13
9:302:T:F:54
9:302:F:T:20
13:101:T:F:27
13:201:T:F:51
13:201:F:T:35
13:202:T:F:56
13:202:F:T:32
13:301:T:F:58
13:301:F:T:26
13:302:T:F:35
13:302:F:T:27
15:101:T:F:92
15:201:T:F:46
15:201:F:T:26
15:202:T:F:40
15:202:F:T:24
15:301:T:F:56
15:301:F:T:24
15:302:T:F:54
15:302:F:T:17
17:101:T:F:52
17:201:T:F:49
17:201:F:T:35
17:202:T:F:55
17:202:F:T:39
17:301:T:F:30
17:301:F:T:19
17:302:T:F:46
17:302:F:T:12
24:101:T:F:32
24:201:T:F:28
24:201:F:T:29
24:202:T:F:36
24:202:F:T:26
24:301:T:F:55
24:301:F:T:22
24:302:T:F:63
24:302:F:T:13
26:101:T:F:63
26:201:T:F:58
26:201:F:T:19
26:202:T:F:35
26:202:F:T:11
26:301:T:F:30
26:301:F:T:24
26:302:T:F:55
26:302:F:T:14
28:101:T:F:12
28:201:T:F:34
28:201:F:T:18
28:202:T:F:31
28:202:F:T:26
28:301:T:F:63
28:301:F:T:19
28:302:T:F:61
28:302:F:T:10
29:101:T:F:45
29:201:T:F:28
29:201:F:T:18
29:202:T:F:30
29:202:F:T:12
29:301:T:F:45
29:301:F:T:17
29:302:T:F:63
29:302:F:T:23
31:101:T:F:52
31:201:T:F:44
31:201:F:T:16
31:202:T:F:30
31:202:F:T:10
31:301:T:F:59
31:301:F:T:28
31:302:T:F:37
31:302:F:T:15
32:101:T:F:97
32:201:T:F:36
32:201:F:T:19
32:202:T:F:43
32:202:F:T:33
32:301:T:F:38
32:301:F:T:17
32:302:T:F:65
32:302:F:T:21
33:101:T:F:78
33:201:T:F:41
33:201:F:T:15
33:202:T:F:22
33:202:F:T:29
33:301:T:F:35
33:301:F:T:19
33:302:T:F:54
33:302:F:T:26
36:101:T:F:37
36:201:T:F:37
36:201:F:T:36
36:202:T:F:27
36:202:F:T:14
36:301:T:F:53
36:301:F:T:12
36:302:T:F:41
36:302:F:T:17
37:101:T:F:2
37:201:T:F:36
37:201:F:T:29
37:202:T:F:33
37:202:F:T:19
37:301:T:F:43
37:301:F:T:17
37:302:T:F:32
37:302:F:T:18
38:101:T:F:4
38:201:T:F:30
38:201:F:T:10
38:202:T:F:41
38:202:F:T:20
38:301:T:F:69
38:301:F:T:23
38:302:T:F:59
38:302:F:T:25
43:101:T:F:98
43:201:T:F:50
43:201:F:T:11
43:202:T:F:34
43:202:F:T:37
43:301:T:F:50
43:301:F:T:19
43:302:T:F:48
43:302:F:T:18
44:101:T:F:18
44:201:T:F:21
44:201:F:T:18
44:202:T:F:45
44:202:F:T:21
44:301:T:F:59
44:301:F:T:12
44:302:T:F:44
44:302:F:T:26
45:101:T:F:94
45:201:T:F:31
45:201:F:T:24
45:202:T:F:54
45:202:F:T:21
45:301:T:F:57
45:301:F:T:20
45:302:T:F:44
45:302:F:T:27
46:101:T:F:53
46:201:T:F:22
46:201:F:T:15
46:202:T:F:38
46:202:F:T:23
46:301:T:F:53
46:301:F:T:26
46:302:T:F:52
46:302:F:T:21
47:101:T:F:0
47:201:T:F:32
47:201:F:T:26
47:202:T:F:46
47:202:F:T:10
47:301:T:F:61
47:301:F:T:17
47:302:T:F:48
47:302:F:T:24
